component,route,plan_score,plan_verdict,plan_layer,plan_role,plan_parent,plan_tier,my_value,my_built,my_disposition,my_hub,defective,flags,plan_enhance,my_upgrade
Exchange1031Calc,/portal/1031-exchange,6.5,ENHANCE,L2 — Advanced,TOGGLE,TaxDeferredExchangeTimeline,Supporting Planning,1.5,1.9,UPGRADE or fold into library,Real Estate Intelligence,False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
FIRECalculator,/portal/fire-calculator,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,2.3,FIX FIRST — defective output,Cross-Cutting Reference Library,True,undeclared-var|fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
FeeImpactCalc,/portal/fee-impact,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Investments & Portfolio,True,undeclared-var,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
FinancialFreedomCalc,/portal/financial-freedom-number,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,2.8,FIX FIRST — defective output,Cross-Cutting Reference Library,True,undeclared-var|fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
FinancialHealthScoreCalc,/portal/financial-health-score,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.5,1.9,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
GSTTCalculator,/portal/gstt-calculator,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.1,1.5,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
HSATripleTaxCalc,/portal/hsa-triple-tax,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.7,2.3,UPGRADE or fold into library,Tax Strategy,False,fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
IncomeShiftingCalc,/portal/income-shifting,6.5,ENHANCE,L2 — Advanced,TOGGLE,RetirementIncomeProjection,Supporting Planning,0.5,2.3,FIX FIRST — defective output,Cross-Cutting Reference Library,True,undeclared-var|fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
InflationAdjustedCalc,/portal/inflation-adjusted-income,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Investments & Portfolio,True,undeclared-var|fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
Landing,/,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,5.8,5.8,EMBED — accordion section,"Public, Marketing & Legal",False,,To 7.8: add a market-vs-IUL outcome chart. Then add the threat→pain→IUL-win→discovery arc.,apply the CinematicEngine treatment (Ken Burns + breath-locked bloom)
LeaseVsBuyCalc,/portal/lease-vs-buy,6.5,ENHANCE,L2 — Advanced,TOGGLE,ReverseHeloc,Supporting Planning,0.5,2.8,FIX FIRST — defective output,Scenario Lab & Comparison,True,undeclared-var|fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
LifestyleInflationCalc,/portal/lifestyle-inflation,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Investments & Portfolio,True,undeclared-var,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
LikeKindExchangeCalc,/portal/like-kind-exchange,6.5,ENHANCE,L2 — Advanced,TOGGLE,TaxDeferredExchangeTimeline,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Cross-Cutting Reference Library,True,frozen-chart|undeclared-var,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
LivingRiskProfile,/portal/living-risk-profile,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,3.8,4.2,EMBED — reference card,"Discovery, Calibration & Onboarding",False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MarginalTaxRateCalc,/portal/marginal-tax-rate,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Tax Strategy,True,undeclared-var|fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MillionaireCalc,/portal/millionaire-calculator,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,2.3,FIX FIRST — defective output,Cross-Cutting Reference Library,True,undeclared-var|fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MuniBondLadderCalc,/portal/muni-bond-ladder,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Investments & Portfolio,True,undeclared-var,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MyWorld,/portal/my-world,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,2.0,2.4,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.8: add a market-vs-IUL outcome chart. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
OpportunityZoneCalc,/portal/opportunity-zone,6.5,ENHANCE,L2 — Advanced,PARENT,—,Supporting Planning,1.5,1.9,UPGRADE or fold into library,Tax Strategy,False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
OptionsProfitCalc,/portal/options-profit-loss,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Cross-Cutting Reference Library,True,undeclared-var,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
PatentShowcase,/portal/patent-showcase,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.8,1.2,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
PhysiciansEdge,/portal/physicians-edge,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.8,1.2,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
PrivateEquityIRRCalc,/portal/pe-irr-calculator,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Investments & Portfolio,True,frozen-chart|undeclared-var|fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
PropertyTaxAppealCalc,/portal/property-tax-appeal,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Real Estate Intelligence,True,undeclared-var,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
QLACCalculator,/portal/qlac-calculator,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Cross-Cutting Reference Library,True,undeclared-var|fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RSUTaxCalc,/portal/rsu-tax,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Tax Strategy,True,undeclared-var|fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RefinanceBreakEvenCalc,/portal/refinance-break-even,6.5,ENHANCE,L2 — Advanced,TOGGLE,ReverseHeloc,Supporting Planning,1.5,1.9,UPGRADE or fold into library,Mortgage & Debt Elimination,False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RentalPropertyROICalc,/portal/rental-property-roi,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.9,2.3,UPGRADE or fold into library,Real Estate Intelligence,False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RothVsTraditionalCalc,/portal/roth-vs-traditional,6.5,ENHANCE,L2 — Advanced,TOGGLE,RothConversionSTR,Supporting Planning,0.5,2.3,FIX FIRST — defective output,Tax Strategy,True,undeclared-var,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SabbaticalPlannerCalc,/portal/sabbatical-planner,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,2.4,2.8,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SavingsRateCalc,/portal/savings-rate-impact,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.5,FIX FIRST — defective output,Cross-Cutting Reference Library,True,undeclared-var|fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SectorRotationCalc,/portal/sector-rotation,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.5,FIX FIRST — defective output,Cross-Cutting Reference Library,True,undeclared-var|fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SelfEmploymentTaxCalc,/portal/self-employment-tax,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Tax Strategy,True,undeclared-var,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SeveranceCalc,/portal/severance-calculator,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.9,2.3,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SpendVsInvestCalc,/portal/spend-vs-invest,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.5,1.9,UPGRADE or fold into library,Investments & Portfolio,False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
SpousalSSCalc,/portal/spousal-ss-coordination,6.5,ENHANCE,L2 — Advanced,TOGGLE,SocialSecurityBridge,Supporting Planning,0.5,2.8,FIX FIRST — defective output,Cross-Cutting Reference Library,True,undeclared-var,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
StateTaxArbitrageCalc,/portal/state-tax-arbitrage,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Tax Strategy,True,undeclared-var,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
VacationRentalCalc,/portal/vacation-rental,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.1,1.5,UPGRADE or fold into library,Real Estate Intelligence,False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
W4OptimizerCalc,/portal/w4-optimizer,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Cross-Cutting Reference Library,True,undeclared-var|fabricated-constant,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
WindfallCalc,/portal/windfall-management,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.5,1.9,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
ZeroBasedBudgetCalc,/portal/zero-based-budget,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.5,1.9,FIX FIRST — defective output,Cross-Cutting Reference Library,True,undeclared-var,To 7.8: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
MedicareIRMAACalc,/portal/medicare-irmaa-calc,6.5,MERGE,Merge,TOGGLE,MedicareIRMAA,Tax / Income Lever,0.5,1.5,FIX FIRST — defective output,Tax Strategy,True,undeclared-var,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
TaxOptimizationCommand,/portal/tax-optimization-command,6.5,ENHANCE,L2 — Advanced,STANDALONE,—,Tax / Income Lever,0.6,1.0,UPGRADE or fold into library,Tax Strategy,False,,To 8.5: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
DeferredCompensationAnalyzer,/portal/deferred-comp,6.4,MERGE,Merge,TOGGLE,DeferredCompCalc,Business Owner / Entity,1.7,2.1,UPGRADE or fold into library,Business & Succession,False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
KeyPersonInsurance,,6.4,MERGE,Merge,TOGGLE,KeyPersonInsuranceCalc,Business Owner / Entity,0.5,2.2,UPGRADE or fold into library,Business & Succession,False,fabricated-constant|literal-chart-data,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
KeyPersonInsurancePlanner,,6.4,MERGE,Merge,TOGGLE,KeyPersonInsuranceCalc,Business Owner / Entity,1.8,2.2,UPGRADE or fold into library,Business & Succession,False,,None,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
OrganismDashboard,/portal/organism-dashboard,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Dashboards / Internal,2.0,2.4,UPGRADE or fold into library,Reports & Deliverables,False,,To 7.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
IncomeAnnuityPage,,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Guaranteed Income / Annuity,1.1,1.1,UPGRADE or fold into library,"Insurance, Annuity & Carrier",False,,To 8.4: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
Knowledge,/portal/knowledge,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Platform / Admin,4.7,5.1,EMBED — reference card,AI Brain & Intelligence,False,,To 7.7: add a discovery question to open the conversation. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add branded PDF export with sources and method notes"
CollegeAidOptimizer,/portal/college-aid,6.4,ENHANCE,L2 — Advanced,TOGGLE,Education529VsIULCalc,Supporting Planning,1.0,2.6,UPGRADE or fold into library,Cross-Cutting Reference Library,False,fabricated-constant,To 7.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
CouplesMode,/portal/couples,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,3.2,3.6,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.7: add a market-vs-IUL outcome chart. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
DebtPayoffStrategy,/portal/debt-payoff,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.6,2.2,UPGRADE or fold into library,Mortgage & Debt Elimination,False,fabricated-constant,To 7.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
Education529Planner,/portal/education-529,6.4,ENHANCE,L2 — Advanced,TOGGLE,Education529VsIULCalc,Supporting Planning,1.4,1.8,UPGRADE or fold into library,Education & Knowledge,False,,To 7.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
FamilyTreeFinancial,/portal/family-tree,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,2.1,2.5,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.7: add a discovery question to open the conversation. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
HealthcareCostProjector,/portal/healthcare-cost,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.0,2.6,UPGRADE or fold into library,Cross-Cutting Reference Library,False,fabricated-constant,To 7.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
LiveCoPilot,/portal/co-pilot,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.0,1.4,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.7: add a discovery question to open the conversation. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
MorningRitual,/portal/morning-ritual,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,2.8,3.2,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.7: add a market-vs-IUL outcome chart. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
MultiCurrencyWealth,/portal/multi-currency,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,2.1,2.5,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.7: add a discovery question to open the conversation. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
PhysicianMortgageAnalyzer,/portal/physician-mortgage,6.4,ENHANCE,L2 — Advanced,TOGGLE,ReverseHeloc,Supporting Planning,0.5,2.1,UPGRADE or fold into library,Mortgage & Debt Elimination,True,frozen-chart|fabricated-constant|literal-chart-data,To 7.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
PolicyReplacementAnalyzer,/portal/policy-replacement,6.4,ENHANCE,L2 — Advanced,TOGGLE,PolicyReviewChecklist,Supporting Planning,2.5,2.9,UPGRADE or fold into library,IUL & Policy Engineering,False,,To 7.7: add a discovery question to open the conversation. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add projection + sensitivity + comparison charts"
PortfolioStressTest,/portal/stress-test,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.0,2.6,UPGRADE or fold into library,"Admin, Ops & System",False,fabricated-constant,To 7.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RetirementHealthcareCostPlanner,,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.8,2.2,UPGRADE or fold into library,Retirement Income & Drawdown,False,,To 7.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RetirementPlanDistributionPlanner,/portal/retirement-distributions,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,0.6,2.2,UPGRADE or fold into library,Retirement Income & Drawdown,False,fabricated-constant,To 7.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RetirementReadinessScore,,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.8,2.2,UPGRADE or fold into library,Retirement Income & Drawdown,False,,To 7.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
RetirementSpendingGuardrails,/portal/spending-guardrails,6.4,ENHANCE,L2 — Advanced,TOGGLE,WithdrawalSequencing,Supporting Planning,1.4,1.8,UPGRADE or fold into library,Retirement Income & Drawdown,False,,To 7.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
Section529AdvancedPlanner,/portal/529-advanced,6.4,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.4,1.8,UPGRADE or fold into library,Tax Strategy,False,,To 7.7: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
AuditDefensePrep,/portal/audit-defense,6.3,ENHANCE,L2 — Advanced,STANDALONE,—,Compliance / Reporting Ops,0.8,2.2,UPGRADE or fold into library,Compliance & Supervision,False,literal-chart-data,To 7.6: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
ConcentratedStock,/portal/concentrated-stock,6.3,ENHANCE,L2 — Advanced,STANDALONE,—,Supporting Planning,1.4,1.8,UPGRADE or fold into library,Investments & Portfolio,False,,To 7.6: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
IncomeProtectionPlanner,/portal/income-protection,6.3,ENHANCE,L2 — Advanced,TOGGLE,OverheadExpenseCalc,Supporting Planning,1.7,2.1,UPGRADE or fold into library,Cross-Cutting Reference Library,False,,To 7.6: wire it to live client/carrier data. Then add the threat→pain→IUL-win→discovery arc.,"extract the math into `shared/<name>Engine.ts` as a pure, deterministic module with a vitest suite ; add a tRPC procedure so scenarios save against the client record"
